compte_courant,duree_mois,historique_credit,objectif_credit,montant_credit,epargne,emploi_depuis,taux_remboursement,statut_personnel,garants,residence_depuis,patrimoine,age,autres_credits,logement,nb_credits_banque,emploi,personnes_a_charge,telephone,travailleur_etranger,classe
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),1393,< 100 DM,1-4 ans,2,Homme célibataire,Garant,2,Immobilier,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),12,Compte critique / autres crédits,Voiture (neuve),691,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,35,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,15,Compte critique / autres crédits,Voiture (neuve),5045,Pas d'épargne,>= 7 ans,1,Femme divorcée/mariée,Aucun,4,Voiture ou autre,59,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Compte critique / autres crédits,Meubles/Équipement,2124,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Immobilier,24,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),12,Crédits en cours remboursés,Radio/Télévision,2214,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,24,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,21,Compte critique / autres crédits,Voiture (neuve),12680,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,30,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Voiture (neuve),2463,100-500 DM,4-7 ans,4,Homme marié/veuf,Aucun,3,Épargne logement/Assurance vie,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1155,< 100 DM,>= 7 ans,3,Homme marié/veuf,Garant,3,Immobilier,40,Banque,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),30,Crédits en cours remboursés,Meubles/Équipement,3108,< 100 DM,< 1 an,2,Homme divorcé/séparé,Aucun,4,Épargne logement/Assurance vie,31,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,10,Crédits en cours remboursés,Voiture (occasion),2901,Pas d'épargne,< 1 an,1,Femme divorcée/mariée,Aucun,4,Immobilier,31,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Compte critique / autres crédits,Meubles/Équipement,3617,< 100 DM,>= 7 ans,1,Homme célibataire,Aucun,4,Voiture ou autre,28,Aucun,Location,3,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,1655,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Immobilier,63,Aucun,Propriétaire,2,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (occasion),2812,Pas d'épargne,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Immobilier,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),36,Compte critique / autres crédits,Éducation,8065,< 100 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,2,Aucun patrimoine,25,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,21,Compte critique / autres crédits,Voiture (occasion),3275,< 100 DM,>= 7 ans,1,Homme célibataire,Aucun,4,Voiture ou autre,36,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Radio/Télévision,2223,100-500 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,52,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,12,Compte critique / autres crédits,Voiture (neuve),1480,500-1000 DM,Sans emploi,2,Homme célibataire,Aucun,4,Aucun patrimoine,66,Banque,Gratuit,3,Sans emploi/Non qualifié (non-résident),1,Non,Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (neuve),1371,Pas d'épargne,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Immobilier,25,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,36,Compte critique / autres crédits,Voiture (neuve),3535,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,37,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Radio/Télévision,3509,< 100 DM,4-7 ans,4,Femme divorcée/mariée,Garant,1,Immobilier,25,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,36,Compte critique / autres crédits,Voiture (occasion),5711,>= 1000 DM,>= 7 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,38,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Réparations,3872,< 100 DM,Sans emploi,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,67,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,39,Compte critique / autres crédits,Radio/Télévision,4933,< 100 DM,4-7 ans,2,Homme célibataire,Garant,2,Immobilier,25,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Voiture (neuve),1940,>= 1000 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,60,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Aucun crédit / tous remboursés,Reconversion pro,1410,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Immobilier,31,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),836,100-500 DM,< 1 an,4,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,23,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
0-200 DM,20,Crédits en cours remboursés,Voiture (occasion),6468,Pas d'épargne,Sans emploi,1,Homme divorcé/séparé,Aucun,4,Immobilier,60,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Business,1941,>= 1000 DM,1-4 ans,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,35,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,22,Crédits en cours remboursés,Radio/Télévision,2675,500-1000 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Voiture ou autre,40,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,48,Compte critique / autres crédits,Voiture (occasion),2751,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,3,Voiture ou autre,38,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
0-200 DM,48,Retards de paiement passés,Éducation,6224,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,50,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),40,Compte critique / autres crédits,Éducation,5998,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,3,Aucun patrimoine,27,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,21,Crédits en cours remboursés,Business,1188,< 100 DM,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,39,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Voiture (occasion),6313,Pas d'épargne,>= 7 ans,3,Homme célibataire,Aucun,4,Voiture ou autre,41,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Bon client
Pas de compte,6,Compte critique / autres crédits,Meubles/Équipement,1221,Pas d'épargne,1-4 ans,1,Homme marié/veuf,Aucun,2,Épargne logement/Assurance vie,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,24,Crédits en cours remboursés,Meubles/Équipement,2892,< 100 DM,>= 7 ans,3,Homme divorcé/séparé,Aucun,4,Aucun patrimoine,51,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Meubles/Équipement,3062,500-1000 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Aucun patrimoine,32,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,9,Crédits en cours remboursés,Meubles/Équipement,2301,100-500 DM,< 1 an,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,22,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Voiture (occasion),7511,Pas d'épargne,>= 7 ans,1,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,51,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Meubles/Équipement,1258,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,22,Aucun,Location,2,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,24,Retards de paiement passés,Voiture (neuve),717,Pas d'épargne,>= 7 ans,4,Homme marié/veuf,Aucun,4,Voiture ou autre,54,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Voiture (neuve),1549,Pas d'épargne,< 1 an,4,Homme célibataire,Aucun,2,Immobilier,35,Aucun,Propriétaire,1,Sans emploi/Non qualifié (non-résident),1,Non,Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Éducation,1597,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,54,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
0-200 DM,18,Compte critique / autres crédits,Radio/Télévision,1795,< 100 DM,>= 7 ans,3,Femme divorcée/mariée,Garant,4,Immobilier,48,Banque,Location,2,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),20,Compte critique / autres crédits,Meubles/Équipement,4272,< 100 DM,>= 7 ans,1,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,24,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,976,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,35,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),7472,Pas d'épargne,Sans emploi,1,Femme divorcée/mariée,Aucun,2,Immobilier,24,Aucun,Location,1,Sans emploi/Non qualifié (non-résident),1,Non,Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Voiture (neuve),9271,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,1,Voiture ou autre,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,6,Crédits en cours remboursés,Radio/Télévision,590,< 100 DM,< 1 an,3,Homme marié/veuf,Aucun,3,Immobilier,26,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Non,Bon client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,930,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,65,Aucun,Propriétaire,4,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,42,Tous crédits remboursés ici,Voiture (occasion),9283,< 100 DM,Sans emploi,1,Homme célibataire,Aucun,2,Aucun patrimoine,55,Banque,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,15,Aucun crédit / tous remboursés,Voiture (neuve),1778,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,1,Immobilier,26,Aucun,Location,2,Sans emploi/Non qualifié (non-résident),1,Non,Oui,Mauvais client
0-200 DM,8,Crédits en cours remboursés,Business,907,< 100 DM,< 1 an,3,Homme marié/veuf,Aucun,2,Immobilier,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,6,Crédits en cours remboursés,Radio/Télévision,484,< 100 DM,4-7 ans,3,Homme marié/veuf,Garant,3,Immobilier,28,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),36,Compte critique / autres crédits,Voiture (occasion),9629,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,24,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),48,Crédits en cours remboursés,Électroménager,3051,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,4,Voiture ou autre,54,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),48,Crédits en cours remboursés,Voiture (neuve),3931,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,46,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
0-200 DM,36,Retards de paiement passés,Voiture (neuve),7432,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,54,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,6,Crédits en cours remboursés,Électroménager,1338,500-1000 DM,1-4 ans,1,Homme divorcé/séparé,Aucun,4,Immobilier,62,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,6,Compte critique / autres crédits,Radio/Télévision,1554,< 100 DM,4-7 ans,1,Femme divorcée/mariée,Aucun,2,Voiture ou autre,24,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Autres,15857,< 100 DM,Sans emploi,2,Homme divorcé/séparé,Co-demandeur,3,Voiture ou autre,43,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Non,Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Radio/Télévision,1345,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,3,Immobilier,26,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Voiture (neuve),1101,< 100 DM,1-4 ans,3,Homme marié/veuf,Aucun,2,Immobilier,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
>= 200 DM,12,Crédits en cours remboursés,Radio/Télévision,3016,< 100 DM,1-4 ans,3,Homme marié/veuf,Aucun,1,Voiture ou autre,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Meubles/Équipement,2712,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,41,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
< 0 DM (découvert),8,Compte critique / autres crédits,Voiture (neuve),731,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,47,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,18,Compte critique / autres crédits,Meubles/Équipement,3780,< 100 DM,< 1 an,3,Homme divorcé/séparé,Aucun,2,Voiture ou autre,35,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),21,Compte critique / autres crédits,Voiture (neuve),1602,< 100 DM,>= 7 ans,4,Homme marié/veuf,Aucun,3,Voiture ou autre,30,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Compte critique / autres crédits,Voiture (neuve),3966,< 100 DM,>= 7 ans,1,Femme divorcée/mariée,Aucun,4,Immobilier,33,Banque,Location,3,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,18,Aucun crédit / tous remboursés,Business,4165,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,36,Magasins,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
< 0 DM (découvert),36,Crédits en cours remboursés,Voiture (occasion),8335,Pas d'épargne,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,47,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,48,Retards de paiement passés,Business,6681,Pas d'épargne,1-4 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,38,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
Pas de compte,24,Retards de paiement passés,Business,2375,500-1000 DM,1-4 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,44,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Voiture (neuve),1216,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,3,Voiture ou autre,23,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),45,Aucun crédit / tous remboursés,Business,11816,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Voiture ou autre,29,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,24,Crédits en cours remboursés,Radio/Télévision,5084,Pas d'épargne,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,42,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
>= 200 DM,15,Crédits en cours remboursés,Radio/Télévision,2327,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,3,Immobilier,25,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
< 0 DM (découvert),12,Aucun crédit / tous remboursés,Voiture (neuve),1082,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,48,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,886,Pas d'épargne,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Voiture ou autre,21,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,4,Crédits en cours remboursés,Meubles/Équipement,601,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,3,Immobilier,23,Aucun,Location,1,Non qualifié (résident),2,Non,Oui,Bon client
< 0 DM (découvert),24,Compte critique / autres crédits,Voiture (occasion),2957,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,63,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Radio/Télévision,2611,< 100 DM,>= 7 ans,4,Homme marié/veuf,Co-demandeur,3,Immobilier,46,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Meubles/Équipement,5179,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,29,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,21,Retards de paiement passés,Voiture (occasion),2993,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,2,Immobilier,28,Magasins,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Réparations,1943,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Immobilier,23,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Tous crédits remboursés ici,Business,1559,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,50,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Meubles/Équipement,3422,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,47,Banque,Propriétaire,3,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
0-200 DM,21,Crédits en cours remboursés,Meubles/Équipement,3976,Pas d'épargne,4-7 ans,2,Homme célibataire,Aucun,3,Voiture ou autre,35,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Voiture (neuve),6761,Pas d'épargne,1-4 ans,2,Homme célibataire,Aucun,4,Voiture ou autre,68,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),1249,< 100 DM,< 1 an,4,Homme marié/veuf,Aucun,2,Immobilier,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),9,Crédits en cours remboursés,Radio/Télévision,1364,< 100 DM,4-7 ans,3,Homme célibataire,Aucun,4,Immobilier,59,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Radio/Télévision,709,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,57,Magasins,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
< 0 DM (découvert),20,Compte critique / autres crédits,Voiture (neuve),2235,< 100 DM,1-4 ans,4,Homme marié/veuf,Garant,2,Épargne logement/Assurance vie,33,Banque,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Non,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Voiture (occasion),4042,Pas d'épargne,4-7 ans,3,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,43,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Radio/Télévision,1471,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,35,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Tous crédits remboursés ici,Voiture (neuve),1442,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,32,Aucun,Gratuit,2,Non qualifié (résident),2,Non,Oui,Mauvais client
Pas de compte,36,Retards de paiement passés,Voiture (neuve),10875,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,45,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),1474,100-500 DM,< 1 an,4,Homme marié/veuf,Aucun,3,Immobilier,33,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,10,Crédits en cours remboursés,Reconversion pro,894,Pas d'épargne,4-7 ans,4,Femme divorcée/mariée,Aucun,3,Épargne logement/Assurance vie,40,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Meubles/Équipement,3343,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Aucun patrimoine,28,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),15,Crédits en cours remboursés,Voiture (neuve),3959,< 100 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,29,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,9,Crédits en cours remboursés,Voiture (neuve),3577,100-500 DM,1-4 ans,1,Homme célibataire,Garant,2,Immobilier,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,2,Non,Non,Bon client
Pas de compte,24,Compte critique / autres crédits,Voiture (occasion),5804,>= 1000 DM,1-4 ans,4,Homme célibataire,Aucun,2,Immobilier,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,18,Retards de paiement passés,Business,2169,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,2,Voiture ou autre,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Radio/Télévision,2439,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Immobilier,35,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,27,Compte critique / autres crédits,Meubles/Équipement,4526,>= 1000 DM,< 1 an,4,Homme célibataire,Aucun,2,Immobilier,32,Magasins,Propriétaire,2,Non qualifié (résident),2,Oui (à son nom),Oui,Bon client
Pas de compte,10,Crédits en cours remboursés,Meubles/Équipement,2210,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Immobilier,25,Banque,Location,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,15,Crédits en cours remboursés,Meubles/Équipement,2221,500-1000 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,20,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Radio/Télévision,2389,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,1,Voiture ou autre,27,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Meubles/Équipement,3331,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,42,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
